JavaDate, DateTime, M/E Shaft Speed, M/E Cons Fuel Rack Pos., ME Fuel type, DG 1 electr. Power, DG 2 electr. Power, DG 3 electr. Power, ME FOC Noon, DG1 FOC Noon, DG2 FOC Noon, DG3 FOC Noon, Boiler FOC Noon, HFO Total Content, MDO Total Content, Trim PP [m], Ship Speed OG, GPS_Latitude, Lattitude NS, GPS_Longitude, Longitude EW, ME Shaft Speed, DG1.OpHours total, DG2.OpHours total, DG3.OpHours total, Boiler1 OpHours.total
1386609006000, 2013/12/10 00:10:06.000, 0, 19.8528679526736, 1, 0, 39.9824093123131, 51.3939254788283, 0, 0, 200.183736672366, 227.048505775856, 304.206037736145, 135.195697774763, 49.4947814941406, 0.718999981880188, 0, 42.6646428778605, 1, 11951.3359375, 0, 9.23052150126323E+19, 7366.9017963645, 7587.97218812788, 9247.15553422825, 5002.48453398777
1386609606000, 2013/12/10 00:20:06.000, 0, 19.7923911475805, 1, 0, 41.3313754277086, 45.9499929098312, 0, 0, 202.743519388829, 230.048337135393, 308.372155708186, 135.234727388822, 49.5107650756836, 0.718999981880188, 0, 42.6651651257913, 1, 11951.3340753433, 0, 9.23052150126323E+19, 7366.9017963645, 7588.13049881991, 9247.32217825311, 5002.65117801263
1386610206000, 2013/12/10 00:30:06.000, 0, 19.8273118677626, 1, 0, 39.7027146701991, 47.0311424159513, 0, 0, 205.478331903927, 233.033369250932, 312.538451596955, 135.217359973128, 49.4947814941406, 0.718999981880188, 0, 42.6709275051956, 1, 11951.3348708144, 0, 9.23052150126323E+19, 7366.9017963645, 7588.29715106697, 9247.48883050018, 5002.8178302597
1386610806000, 2013/12/10 00:40:06.000, 0, 19.8345497326092, 1, 0, 36.9048018358676, 47.4532850945402, 0, 0, 207.197030935432, 235.982925576673, 316.705644102196, 135.216064453125, 49.5449260127235, 0.718999981880188, 0, 42.6680649417385, 1, 11951.3348695648, 0, 9.23052150126323E+19, 7366.9017963645, 7588.42217239745, 9247.65551849856, 5002.98451825808
1386611406000, 2013/12/10 00:50:06.000, 0, 19.8522911071777, 1, 0, 31.2070814807235, 47.6270986453599, 0, 0, 208.053558349609, 238.950998964242, 320.871198648341, 135.342330932617, 49.4851808104433, 0.718999981880188, 0, 42.6687253708784, 1, 11951.3350496627, 0, 9.23052150126323E+19, 7366.9017963645, 7588.490309787, 9247.82213998468, 5003.1511397442
1386612006000, 2013/12/10 01:00:06.000, 0, 19.8583946228027, 1, 0, 33.2671886552189, 44.7388855579258, 0, 0, 208.053558349609, 241.851710861497, 325.038667143551, 135.141625883586, 49.4594879150391, 0.718999981880188, 0, 42.6694984436035, 1, 11951.3359375, 0, 9.23052150126323E+19, 7366.9017963645, 7588.49283519106, 9247.98883913716, 5003.31783889668
1386612606000, 2013/12/10 01:10:06.000, 0, 19.8528574735764, 1, 0, 35.4134455316597, 45.4185388359299, 0, 0, 209.837692260742, 244.870052702877, 329.205322328177, 135.1962890625, 49.5131373871555, 0.718999981880188, 0, 42.6680800427991, 1, 11951.3369140625, 0, 9.23052150126323E+19, 7366.9017963645, 7588.60975962073, 9248.15550564313, 5003.48450540265
1386613206000, 2013/12/10 01:20:06.000, 0, 19.8339786529541, 1, 0, 37.9752242850646, 45.3172291064064, 0, 0, 211.012080129029, 247.732759234689, 333.373146361897, 135.124314898208, 49.5160998485965, 0.718999981880188, 0, 42.6688863559268, 1, 11951.3362173707, 0, 9.23052150126323E+19, 7366.9017963645, 7588.68609401627, 9248.32221791003, 5003.65121766955
1386613806000, 2013/12/10 01:30:06.000, 0, 19.4163558096373, 1, 0, 73.5062815768946, 61.222788274869, 0, 0, 213.858502790547, 250.8638008931, 337.537490295309, 135.100185396043, 49.4755629390645, 0.718999981880188, 0, 42.6683541893499, 1, 11951.3359375, 0, 9.23052150126323E+19, 7366.9017963645, 7588.84433485037, 9248.48879207697, 5003.8177918365
1386614406000, 2013/12/10 01:40:06.000, 0, 19.8583946228027, 1, 0, 61.73142096291, 61.5014392534697, 0, 0, 217.479159923283, 254.237456952889, 341.707186863172, 135.140112143207, 49.356191916402, 0.718999981880188, 0, 42.6714371229336, 1, 11951.3350559259, 0, 9.23052150126323E+19, 7366.9017963645, 7589.01112300919, 9248.65558023579, 5003.98457999531
